date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2024-12-04,PULS,-23.757,13912.08,1.01,1.188,0.431
2024-12-04,VXZ,23.557,13794.96,3.0,1.178,0.669
2024-12-05,PULS,84.22,49964.86,1.01,4.211,1.528
2024-12-05,VXZ,-84.023,49847.84,3.0,4.201,2.369
2024-12-06,PULS,-68.0,40338.13,1.01,3.4,1.233
2024-12-06,VXZ,67.7,40160.17,3.0,3.385,1.916
2024-12-09,PULS,68.198,40687.66,1.01,3.41,1.236
2024-12-09,VXZ,-67.9,40509.82,3.0,3.395,1.913
2024-12-10,PULS,-36.0,21469.96,1.01,1.8,0.652
2024-12-10,ZVOL,36.0,21469.96,15.0,5.4,3.867
2024-12-11,PULS,35.926,21397.71,1.01,1.796,0.651
2024-12-11,ZVOL,-35.926,21397.71,15.0,5.389,3.863
2024-12-18,PULS,-84.0,50007.36,1.01,4.2,1.521
2024-12-18,ZVOL,84.0,50007.36,15.0,12.6,9.317
2024-12-19,PULS,83.348,47645.38,1.01,4.167,1.509
2024-12-19,ZVOL,-83.348,47645.38,15.0,12.502,9.39
2024-12-24,PULS,-36.0,20592.23,1.01,1.8,0.651
2024-12-24,VXZ,36.0,20592.23,3.0,1.8,1.022
2024-12-26,PULS,0.17,97.7,1.01,0.009,0.062
2024-12-26,VXZ,-0.37,212.38,3.0,0.019,0.067
2024-12-27,PULS,36.447,21051.0,1.01,1.822,0.662
2024-12-27,VXZ,-36.248,20936.36,3.0,1.812,1.016
2024-12-30,PULS,-52.0,30030.44,1.01,2.6,0.945
2024-12-30,ZVOL,52.0,30030.44,15.0,7.8,5.686
2024-12-31,PULS,0.061,35.19,1.01,0.003,0.061
2024-12-31,ZVOL,-0.061,35.19,15.0,0.009,0.065
2025-01-02,PULS,-7.808,4534.72,1.01,0.39,0.142
2025-01-02,ZVOL,7.808,4534.72,15.0,1.171,0.851
2025-01-03,PULS,59.953,34768.13,1.01,2.998,1.088
2025-01-03,ZVOL,-59.953,34768.13,15.0,8.993,6.538
2025-01-06,PULS,-36.0,20873.88,1.01,1.8,0.653
2025-01-06,VXZ,35.8,20757.92,3.0,1.79,1.008
2025-01-07,PULS,36.634,21445.95,1.01,1.832,0.665
2025-01-07,VXZ,-36.436,21330.03,3.0,1.822,1.013
2025-01-10,PULS,-52.0,30437.34,1.01,2.6,0.943
2025-01-10,ZVOL,52.0,30437.34,15.0,7.8,5.772
2025-01-13,PULS,15.967,9340.16,1.01,0.798,0.29
2025-01-13,ZVOL,-15.967,9340.16,15.0,2.395,1.773
2025-01-14,PULS,36.207,21248.78,1.01,1.81,0.656
2025-01-14,ZVOL,-36.207,21248.78,15.0,5.431,4.008
2025-01-15,PULS,-36.0,21127.95,1.01,1.8,0.652
2025-01-15,VXZ,36.0,21127.95,3.0,1.8,1.002
2025-01-16,PULS,35.854,20982.29,1.01,1.793,0.65
2025-01-16,VXZ,-35.854,20982.29,3.0,1.793,1.001
2025-01-17,PULS,-52.0,30427.35,1.01,2.6,0.942
2025-01-17,VXZ,51.9,30368.83,3.0,2.595,1.449
2025-01-21,PULS,-8.302,4833.79,1.01,0.415,0.15
2025-01-21,VXZ,8.002,4659.12,3.0,0.4,0.224
2025-01-22,PULS,-7.909,4616.16,1.01,0.395,0.143
