date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2024-06-10,VXZ,12.9,47256.49,4.1,0.645,0.953
2024-06-10,TECL,0.402,1474.15,1.5,0.02,0.013
2024-06-11,PULS,-1.742,6520.5,1.01,0.087,0.032
2024-06-11,SOXL,0.668,2501.51,1.0,0.033,0.013
2024-06-11,SVIX,37.5,140378.9,4.0,1.875,1.267
2024-06-11,VXZ,2.287,8559.4,4.11,0.114,0.169
2024-06-11,TECL,-38.715,144927.47,1.5,1.936,0.569
2024-06-12,PULS,-5.636,21877.39,1.01,0.282,0.102
2024-06-12,SOXL,-39.171,152044.27,1.0,1.959,0.629
2024-06-12,SVIX,-36.726,142552.54,4.0,1.836,1.232
2024-06-12,VXZ,6.63,25734.87,4.1,0.332,0.49
2024-06-12,UVXY,75.0,291113.38,2.12,3.75,2.861
2024-06-13,PULS,0.008,29.88,1.01,0.0,0.009
