date,ticker,delta_weight_pct,notional_compounding_$,half_spread_bps,drag_composer_bps_of_nav,drag_ibkr_bps_of_nav
2022-04-08,TMV,-0.205,176.08,2.0,0.01,0.043
2022-04-08,BIL,1.161,996.67,0.55,0.058,0.044
2022-04-11,LABD,-1.494,1329.24,3.0,0.075,0.062
2022-04-11,TMV,-0.245,217.74,2.0,0.012,0.042
2022-04-11,BIL,1.739,1546.98,0.55,0.087,0.044
2022-04-12,LABD,-0.131,116.91,3.0,0.007,0.041
2022-04-12,TMV,-0.009,8.25,2.0,0.0,0.039
2022-04-12,BIL,0.14,125.16,0.55,0.007,0.04
2022-04-13,LABD,2.102,1818.43,3.0,0.105,0.073
2022-04-13,TMV,-0.554,479.72,2.0,0.028,0.046
2022-04-13,BIL,-1.547,1338.7,0.55,0.077,0.045
2022-04-14,LABD,-1.193,1071.23,3.0,0.06,0.057
2022-04-14,TMV,-0.623,559.7,2.0,0.031,0.045
2022-04-14,BIL,1.817,1630.94,0.55,0.091,0.044
2022-04-18,LABD,-2.439,2275.72,3.0,0.122,0.075
2022-04-18,TMV,0.556,518.89,2.0,0.028,0.043
2022-04-18,BIL,1.883,1756.83,0.55,0.094,0.043
2022-04-19,LABD,0.756,702.35,3.0,0.038,0.049
2022-04-19,TMV,-25.583,23777.08,2.0,1.279,0.428
2022-04-19,BIL,24.827,23074.73,0.55,1.241,0.244
2022-04-20,LABD,0.174,161.05,3.0,0.009,0.04
2022-04-20,TMV,25.0,23180.65,2.0,1.25,0.429
2022-04-20,BIL,-25.174,23341.7,0.55,1.259,0.248
2022-04-21,LABD,-2.147,2065.9,3.0,0.107,0.069
2022-04-21,TMV,0.335,322.03,2.0,0.017,0.04
2022-04-21,BIL,1.813,1743.87,0.55,0.091,0.041
2022-04-22,LABD,-0.74,723.0,3.0,0.037,0.047
2022-04-22,TMV,-25.04,24462.97,2.0,1.252,0.423
2022-04-22,BIL,25.78,25185.97,0.55,1.289,0.254
2022-04-25,LABD,-23.829,22918.69,3.0,1.191,0.712
2022-04-25,BIL,23.829,22918.69,0.55,1.191,0.235
2022-04-26,TMV,25.0,24036.32,2.0,1.25,0.433
2022-04-26,BIL,-25.0,24036.32,0.55,1.25,0.246
2022-04-27,LABD,25.0,24236.59,3.0,1.25,0.682
2022-04-27,TMV,-0.639,619.86,2.0,0.032,0.042
2022-04-27,BIL,-24.361,23616.73,0.55,1.218,0.24
2022-04-28,LABD,0.17,164.09,3.0,0.008,0.039
2022-04-28,TMV,-0.035,33.61,2.0,0.002,0.037
2022-04-28,BIL,-0.135,130.48,0.55,0.007,0.037
2022-04-29,LABD,-26.482,26436.59,3.0,1.324,0.697
2022-04-29,TMV,-25.117,25073.22,2.0,1.256,0.422
2022-04-29,BIL,51.599,51509.8,0.55,2.58,0.508
2022-05-02,LABD,25.0,24953.01,3.0,1.25,0.698
2022-05-02,BIL,-25.0,24953.01,0.55,1.25,0.246
2022-05-03,LABD,0.05,49.99,3.0,0.003,0.036
2022-05-03,TMV,25.0,24927.19,2.0,1.25,0.415
2022-05-03,BIL,-25.05,24977.18,0.55,1.253,0.247
2022-05-04,LABD,1.143,1117.32,3.0,0.057,0.053
2022-05-04,TMV,-0.116,113.49,2.0,0.006,0.037
2022-05-04,BIL,-1.027,1003.83,0.55,0.051,0.039
2022-05-05,SVXY,50.0,52011.12,2.0,2.5,1.189
2022-05-05,LABD,-2.728,2838.1,3.0,0.136,0.075
2022-05-05,TMV,-0.324,337.48,2.0,0.016,0.037
2022-05-05,BIL,-46.947,48835.54,0.55,2.347,0.462
2022-05-06,SVXY,-47.823,52316.21,2.0,2.391,1.133
2022-05-06,LABD,-2.29,2505.62,3.0,0.115,0.066
2022-05-06,TMV,0.113,123.85,2.0,0.006,0.033
2022-05-06,BIL,50.0,54697.98,0.55,2.5,0.492
2022-05-09,LABD,-29.508,34024.93,3.0,1.475,0.685
2022-05-09,TMV,-23.086,26620.02,2.0,1.154,0.372
2022-05-09,BIL,52.593,60644.94,0.55,2.63,0.518
2022-05-11,TMV,25.0,28819.83,2.0,1.25,0.416
2022-05-11,BIL,-25.0,28819.83,0.55,1.25,0.246
2022-05-12,TMV,-0.034,39.7,2.0,0.002,0.031
2022-05-12,BIL,0.034,39.7,0.55,0.002,0.03
2022-05-13,LABD,25.0,29179.19,3.0,1.25,0.644
2022-05-13,TMV,-25.894,30222.09,2.0,1.295,0.423
2022-05-13,BIL,0.894,1042.9,0.55,0.045,0.032
2022-05-16,LABD,-0.157,183.81,3.0,0.008,0.032
2022-05-16,TMV,25.0,29229.74,2.0,1.25,0.408
2022-05-16,BIL,-24.843,29045.93,0.55,1.242,0.245
2022-05-17,LABD,2.828,3226.3,3.0,0.141,0.077
2022-05-17,TMV,-1.59,1814.14,2.0,0.08,0.047
2022-05-17,BIL,-1.238,1412.15,0.55,0.062,0.034
2022-05-18,LABD,-3.109,3622.04,3.0,0.155,0.08
2022-05-18,TMV,2.079,2421.4,2.0,0.104,0.051
2022-05-18,BIL,1.031,1200.64,0.55,0.052,0.033
